ID,SampleName,GeothermalField,Location,Country,Reference,Temperature,Li,Na,K,Mg,Ca,Cl,SO4,HCO3
26,Well-3,,Urridavatn,Islandia,"Arnorsson, et.al., 1983 II",59,,63.4,0.85,0.008,4.92,42.2,47.5,
28,Well-10,,Saelingsdálur,Islandia,"Arnorsson, et.al., 1983 II",63,,48.7,0.93,0.002,3.24,10.6,53.5,
423,Hlemmiskeid 1,,,Islandia,"Nieva y Nieva, 1987",63,,154.7,3.7,0.05,14.8,,,
30,Well-6,,Lysuhóll,Islandia,"Arnorsson, et.al., 1983 II",63,,485.8,36.5,20.84,79.9,69.5,43.1,
24,Well-4,,Tjarnir,Islandia,"Arnorsson, et.al., 1983 II",67,,51.5,1.26,0.002,2.36,18.8,34.3,
21,Well-3,,Olafsfjordur,Islandia,"Arnorsson, et.al., 1983 II",67,,37,0.61,0.032,2.39,9.6,8,
25,Well-2,,Laugar,Islandia,"Arnorsson, et.al., 1983 II",67,,47.4,0.55,0.049,1.96,4.7,13.9,
5,Well-4,,Húsatóttir,Islandia,"Arnorsson, et.al., 1983 II",68,,136.1,2.88,0.048,11.3,171.7,67.6,
432,"Reykir, Skeid 1",,,Islandia,"Nieva y Nieva, 1987",69,,96.2,2.3,0.03,8.2,,,
424,Husatottir 3,,,Islandia,"Nieva y Nieva, 1987",70,,138.9,5.2,0.04,10.2,,,
402,Y10,,Yellowstone Park,EU,"Fournier y Potter, 1979",70,,161,69,80,455,,,
17,Well-1,,Reykir Reykjabraut,Islandia,"Arnorsson, et.al., 1983 II",72,,61.9,2.14,0.056,2.56,7.6,58,
418,Brautarholt 1,,,Islandia,"Nieva y Nieva, 1987",72,,149,3.2,0.07,17.6,,,
431,Leira,,,Islandia,"Nieva y Nieva, 1987",74,,196,4.2,2.4,54,,,
7,Well-17,,Reykir,Islandia,"Arnorsson, et.al., 1983 II",75,,34,0.74,0.079,2.34,14.2,12.7,
88,Well-13,,Selfoss,Islandia,"Stefáns. y Arnórs., 2000",75,,159,3.66,0.079,31.1,235.2,59.1,
20,Well-7,,Siglurjordur,Islandia,"Arnorsson, et.al., 1983 II",79,,43,0.82,0.064,1.56,9.6,10.9,
435,Selfoss 8,,,Islandia,"Nieva y Nieva, 1987",79,,172,5.1,0.1,31.4,,,
399,31-18Q,,Kettleman Hills,EU,"Fournier y Potter, 1979",82,,13200,88.4,206,797,,,
436,Seltjarnarnes S-11,,,Islandia,"Nieva y Nieva, 1987",83,,271.5,5.9,0.04,60.8,,,
434,Selfoss 7,,,Islandia,"Nieva y Nieva, 1987",84,,166,4.8,0.07,28.3,,,
8,Well-5,,Reykir,Islandia,"Arnorsson, et.al., 1983 II",85,,42.1,1.08,0.06,2.08,10.5,17.1,
3,Well-1,,Arbaer,Islandia,"Arnorsson, et.al., 1983 II",86,,62.6,1.62,0.042,1.54,24,28.2,
384,Cen. Miss.25,,Mississippi ,EU,"Fournier y Potter, 1979",86,,40100,333,582,4140,,,
